initial_distribution_residual,flow_residual,max_flow_residual,layer_mass_error,min_occupancy,utility,solver,solver_status,solver_objective,evaluated_objective,wall_time_sec,solver_time_sec,solver_num_iters,variable_count,constraint_count,horizon,state_count,action_count,target_count,enforce_layer_mass,objective_discrepancy,accepted_status,accepted_residuals,accepted,map_seed,method,reference_objective,reference_ratio,relative_gap,planning_calls
1.4868953907330297e-09,1.7686189179855205e-09,1.7686189179855205e-09,6.237322147661928e-08,0.0,soft,CLARABEL,optimal,11.183563859297902,11.183563859297907,0.8341341000050306,0.6400699,29.0,11040.0,24.0,24.0,92.0,5.0,12.0,False,5.329070518200751e-15,True,True,True,1000,Direct-CVX,,,,
0.0,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-15,0.0,soft,,not_applicable,,3.0016303300770533,,,,,,,,,,,,,,,1000,Random,11.183563859297907,0.26839658340051653,0.7316034165994834,0.0
0.0,0.0,0.0,6.661338147750939e-16,0.0,soft,,not_applicable,,6.534498617684142,,,,,,,,,,,,,,,1000,Additive,11.183563859297907,0.584294836591953,0.415705163408047,1.0
4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,8.881784197001252e-16,0.0,soft,,not_applicable,,11.173874342765455,,,,,,,,,,,,,,,1000,OCG K=40,11.183563859297907,0.9991335931323541,0.0008664068676459009,40.0
3.429420720499225e-09,3.5700245985800116e-09,3.5700245985800116e-09,1.4739640907812657e-07,0.0,log,CLARABEL,optimal,16.110231463017332,16.11023146301734,0.8738931000116281,0.6912373,31.0,11040.0,24.0,24.0,92.0,5.0,12.0,False,7.105427357601002e-15,True,True,True,1000,Direct-CVX,,,,
0.0,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-15,0.0,log,,not_applicable,,4.63194845993136,,,,,,,,,,,,,,,1000,Random,16.11023146301734,0.2875159472763917,0.7124840527236083,0.0
0.0,0.0,0.0,6.661338147750939e-16,0.0,log,,not_applicable,,11.833241118967342,,,,,,,,,,,,,,,1000,Additive,16.11023146301734,0.7345171387594114,0.2654828612405886,1.0
4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,8.881784197001252e-16,0.0,log,,not_applicable,,16.10435414727574,,,,,,,,,,,,,,,1000,OCG K=40,16.11023146301734,0.9996351811732134,0.0003648188267866826,40.0
