method,G_mean,G_std,covered_mean,entropy_mean,runtime_mean,planning_calls,best_found_ratio
Random,11.7227150365233,0.3511757274251308,8.0,2.0645265010861213,0.006139160011662171,0.0,0.8415238390241405
Myopic-effectiveness,10.0744963866515,1.1502212442311093,4.5,1.412292765589663,0.001076659996761009,0.0,0.7232052343775277
Additive,10.362415214590273,0.9772253367867499,4.6,1.458777827661407,0.00147063999902457,1.0,0.7438737021053098
Marginal,7.073841202855048,1.0101182256669534,2.9,0.9158500726026505,0.012038560002110898,6.0,0.5078009648044124
OCG K=5,13.558994011191606,0.3515727021918707,8.0,2.0391889913009416,0.01004975000396371,5.0,0.9733424942987704
OCG K=10,13.827755179243672,0.22508133141306239,8.0,2.056209032043474,0.021540780004579575,10.0,0.9926357151281716
OCG K=20,13.906820730125565,0.20171769841610282,8.0,2.058619676753392,0.03956215000362136,20.0,0.998311494647284
OCG K=40,13.930342187474281,0.1944130287537521,8.0,2.0581758881821894,0.07519437000155449,40.0,1.0
