grid_n,horizon,target_count,method,state_count_mean,G_mean,G_std,covered_mean,entropy_mean,runtime_mean,planning_calls,best_found_ratio
10,24,12,Additive,92.0,5.142727443061075,2.309194475786255,5.4,1.3856729526929294,0.01258204000769183,1.0,0.4856119953227895
10,24,12,OCG K=20,92.0,10.538034371857524,0.5467651843021869,12.0,2.457264788727484,0.29706905997591093,20.0,0.9950742975894273
10,24,12,OCG K=40,92.0,10.5901985383262,0.5285869973392807,12.0,2.4609988985061912,0.5904876799904741,40.0,1.0
15,32,20,Additive,205.0,3.569026887980042,0.465218176890249,3.6,1.0913859265057,0.048982919985428454,1.0,0.22732943213865622
15,32,20,OCG K=20,205.0,15.58625678492742,0.24491251365257238,19.6,2.937897145608305,0.9914271600078791,20.0,0.992767781049186
15,32,20,OCG K=40,205.0,15.699801184578542,0.20694964511062655,20.0,2.944146242757445,1.9524884600075894,40.0,1.0
20,40,30,Additive,360.0,6.5769187417515464,0.980619653017481,6.8,1.549203337119264,0.12378900001058354,1.0,0.3117447109277057
20,40,30,OCG K=20,360.0,20.752673967632756,0.599093990044488,28.4,3.292587288541804,2.7703814999898895,20.0,0.9836728415004939
20,40,30,OCG K=40,360.0,21.097130155567413,0.6198786254370704,29.0,3.3195384871723577,5.160661320015788,40.0,1.0
