instance_type,utility,method,n_instances,objective_mean,objective_std,reference_ratio_mean,reference_ratio_std,relative_gap_mean,relative_gap_std,runtime_mean_sec
allocation,log,Additive,10,10.362415214590275,0.9772253367867499,0.7426347660280332,0.06486655385002275,0.25736523397196676,0.06486655385002275,
allocation,log,Direct-CVX,10,13.946280072531621,0.19290396629686166,1.0,0.0,0.0,0.0,0.09271643999964
allocation,log,Marginal,10,7.073841202855047,1.0101182256669534,0.5072471736125858,0.07279773474762613,0.49275282638741424,0.07279773474762613,
allocation,log,Myopic-effectiveness,10,10.074496386651502,1.1502212442311097,0.721983809525874,0.07825547206253765,0.27801619047412596,0.07825547206253768,
allocation,log,OCG K=40,10,13.930342187474281,0.19441302875375224,0.9988556915534754,0.00037632558240545497,0.0011443084465245933,0.00037632558240545546,
allocation,log,Random,10,11.7227150365233,0.35117572742513076,0.8406480405771651,0.0255270124285434,0.15935195942283492,0.025527012428543393,
allocation,soft,Additive,10,4.678688678910865,0.6728341191309528,0.5906425447927695,0.08463700573092278,0.40935745520723066,0.08463700573092275,
allocation,soft,Direct-CVX,10,7.920802387730207,0.014706076364617375,1.0,0.0,0.0,0.0,0.10206800001324154
allocation,soft,Marginal,10,2.8204898388831383,0.702438552221788,0.35601695875395295,0.08844440265557955,0.643983041246047,0.08844440265557957,
allocation,soft,Myopic-effectiveness,10,4.474097119368066,0.7016595902383137,0.5648194438340274,0.0883364367639194,0.4351805561659726,0.0883364367639194,
allocation,soft,OCG K=40,10,7.917210742854117,0.015737681258304947,0.999546345103561,0.0001942053297462004,0.0004536548964389849,0.0001942053297462181,
allocation,soft,Random,10,7.6686398043335515,0.06469498304133033,0.9681614506561281,0.0075339238438749696,0.03183854934387196,0.007533923843874967,
gridworld,log,Additive,10,9.511079213504004,2.4267844753035197,0.6514499680594991,0.1583181970972858,0.348550031940501,0.1583181970972858,
gridworld,log,Direct-CVX,10,14.552365455591945,0.9222252644208838,1.0,0.0,0.0,0.0,0.9080784799880348
gridworld,log,OCG K=40,10,14.532379896570694,0.9264711776780629,0.9986052458077486,0.0005933775042154557,0.0013947541922512627,0.0005933775042154478,
gridworld,log,Random,10,5.234645688204201,1.1626800226509955,0.360268203606494,0.07769388960811045,0.6397317963935061,0.07769388960811047,
gridworld,soft,Additive,10,4.783067478967743,1.9652551267533647,0.44467063924465533,0.18271385752163097,0.5553293607553448,0.18271385752163102,
gridworld,soft,Direct-CVX,10,10.738625730050888,0.2670939261872234,1.0,0.0,0.0,0.0,0.8912799699988682
gridworld,soft,Marginal,10,4.551269934495001,1.642146864003834,0.42278690922436934,0.14826844313216542,0.5772130907756305,0.1482684431321654,
gridworld,soft,Nearest-target,10,6.285126677247295,1.2887148921732654,0.5835294575342211,0.10654281572380805,0.41647054246577886,0.10654281572380807,
gridworld,soft,OCG K=40,10,10.716063701437871,0.2759344921668741,0.9978796853022013,0.0011527961159476248,0.002120314697798815,0.0011527961159476274,
gridworld,soft,Random,10,3.2867877585805685,0.4782992357088754,0.30605450036276693,0.04319488778073443,0.693945499637233,0.043194887780734416,
