initial_distribution_residual,flow_residual,max_flow_residual,layer_mass_error,min_occupancy,utility,solver,requested_solver,solver_fallback_from,solver_status,solver_objective,evaluated_objective,wall_time_sec,solver_time_sec,solver_num_iters,variable_count,constraint_count,horizon,state_count,action_count,target_count,enforce_layer_mass,objective_discrepancy,accepted_status,accepted_residuals,accepted,instance_type,instance_seed,method,reference_objective,reference_ratio,relative_gap,planning_calls,q,m
4.440892098500626e-16,2.220446049250313e-16,4.440892098500626e-16,6.661338147750939e-16,0.0,soft,,,,not_applicable,,10.525180273001956,,,,,,,,,,,,,,,gridworld,1001,OCG K=40,10.549273754825164,0.9977161004270851,0.0022838995729149133,40.0,,
0.0,0.0,0.0,8.881784197001252e-16,0.0,soft,,,,not_applicable,,6.369515920553848,,,,,,,,,,,,,,,gridworld,1001,Nearest-target,10.549273754825164,0.6037871486310114,0.39621285136898865,0.0,,
0.0,0.0,0.0,3.3306690738754696e-16,0.0,soft,,,,not_applicable,,2.2766735803947706,,,,,,,,,,,,,,,gridworld,1001,Marginal,10.549273754825164,0.21581329988269915,0.7841867001173009,6.0,,
4.613432826040338e-09,4.75108730135787e-09,4.75108730135787e-09,1.6795818202908208e-07,0.0,log,CLARABEL,CLARABEL,,optimal,14.192095974574338,14.192095974574322,0.9224044000147842,0.7346443,32.0,11040.0,24.0,24.0,92.0,5.0,12.0,False,1.5987211554602254e-14,True,True,True,gridworld,1001,Direct-CVX,14.192095974574322,1.0,0.0,,,
0.0,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-15,0.0,log,,,,not_applicable,,5.16699574803516,,,,,,,,,,,,,,,gridworld,1001,Random,14.192095974574322,0.3640755923080022,0.6359244076919979,0.0,,
0.0,0.0,0.0,6.661338147750939e-16,0.0,log,,,,not_applicable,,12.072776298502479,,,,,,,,,,,,,,,gridworld,1001,Additive,14.192095974574322,0.8506690146495145,0.14933098535048556,1.0,,
4.440892098500626e-16,2.220446049250313e-16,4.440892098500626e-16,6.661338147750939e-16,0.0,log,,,,not_applicable,,14.174975924316813,,,,,,,,,,,,,,,gridworld,1001,OCG K=40,14.192095974574322,0.9987936912004978,0.0012063087995021907,40.0,,
2.331007747863254e-09,2.521795772203461e-09,2.521795772203461e-09,9.848086901520503e-08,0.0,soft,CLARABEL,CLARABEL,,optimal,10.607347035317703,10.607347035317702,0.9418005000334233,0.7558237,32.0,11040.0,24.0,24.0,92.0,5.0,12.0,False,1.7763568394002505e-15,True,True,True,gridworld,1002,Direct-CVX,10.607347035317702,1.0,0.0,,,
0.0,5.551115123125783e-17,5.551115123125783e-17,8.881784197001252e-16,0.0,soft,,,,not_applicable,,2.9586458195807315,,,,,,,,,,,,,,,gridworld,1002,Random,10.607347035317702,0.27892420317066746,0.7210757968293326,0.0,,
0.0,0.0,0.0,7.771561172376096e-16,0.0,soft,,,,not_applicable,,5.184579794713169,,,,,,,,,,,,,,,gridworld,1002,Additive,10.607347035317702,0.48877252506690383,0.5112274749330962,1.0,,
4.440892098500626e-16,3.3306690738754696e-16,4.440892098500626e-16,6.661338147750939e-16,0.0,soft,,,,not_applicable,,10.595208806272638,,,,,,,,,,,,,,,gridworld,1002,OCG K=40,10.607347035317702,0.9988556772014106,0.0011443227985894265,40.0,,
0.0,0.0,0.0,1.5543122344752192e-15,0.0,soft,,,,not_applicable,,4.90943612193728,,,,,,,,,,,,,,,gridworld,1002,Nearest-target,10.607347035317702,0.4628335535352113,0.5371664464647887,0.0,,
0.0,0.0,0.0,4.440892098500626e-16,0.0,soft,,,,not_applicable,,2.9381595086659273,,,,,,,,,,,,,,,gridworld,1002,Marginal,10.607347035317702,0.27699287096794095,0.723007129032059,6.0,,
3.751526380036583e-09,4.042141621418693e-09,4.042141621418693e-09,1.6518049439362414e-07,0.0,log,CLARABEL,CLARABEL,,optimal,13.845631684003756,13.845631684003752,0.9475691000116058,0.7624356,32.0,11040.0,24.0,24.0,92.0,5.0,12.0,False,3.552713678800501e-15,True,True,True,gridworld,1002,Direct-CVX,13.845631684003752,1.0,0.0,,,
0.0,5.551115123125783e-17,5.551115123125783e-17,8.881784197001252e-16,0.0,log,,,,not_applicable,,3.705338600660175,,,,,,,,,,,,,,,gridworld,1002,Random,13.845631684003752,0.2676178801535691,0.7323821198464309,0.0,,
0.0,0.0,0.0,7.771561172376096e-16,0.0,log,,,,not_applicable,,9.138054051352233,,,,,,,,,,,,,,,gridworld,1002,Additive,13.845631684003752,0.6599954599333798,0.3400045400666202,1.0,,
4.440892098500626e-16,2.220446049250313e-16,4.440892098500626e-16,6.661338147750939e-16,0.0,log,,,,not_applicable,,13.820794881389082,,,,,,,,,,,,,,,gridworld,1002,OCG K=40,13.845631684003752,0.9982061632736219,0.0017938367263781122,40.0,,
2.283025619905929e-09,2.2555030065873893e-09,2.283025619905929e-09,9.276669099556045e-08,0.0,soft,CLARABEL,CLARABEL,,optimal,10.884347268813528,10.88434726881353,0.8079647999838926,0.6097379,26.0,11040.0,24.0,24.0,92.0,5.0,12.0,False,1.7763568394002505e-15,True,True,True,gridworld,1003,Direct-CVX,10.88434726881353,1.0,0.0,,,
0.0,5.551115123125783e-17,5.551115123125783e-17,6.661338147750939e-16,0.0,soft,,,,not_applicable,,2.5967487291227154,,,,,,,,,,,,,,,gridworld,1003,Random,10.88434726881353,0.23857643136424656,0.7614235686357534,0.0,,
0.0,0.0,0.0,4.440892098500626e-16,0.0,soft,,,,not_applicable,,5.5782574180429485,,,,,,,,,,,,,,,gridworld,1003,Additive,10.88434726881353,0.512502705056655,0.48749729494334504,1.0,,
4.440892098500626e-16,5.551115123125783e-16,5.551115123125783e-16,7.771561172376096e-16,0.0,soft,,,,not_applicable,,10.873696673835282,,,,,,,,,,,,,,,gridworld,1003,OCG K=40,10.88434726881353,0.999021476004467,0.0009785239955329946,40.0,,
0.0,0.0,0.0,9.992007221626409e-16,0.0,soft,,,,not_applicable,,6.435818864573896,,,,,,,,,,,,,,,gridworld,1003,Nearest-target,10.88434726881353,0.5912912098104571,0.4087087901895429,0.0,,
0.0,0.0,0.0,6.661338147750939e-16,0.0,soft,,,,not_applicable,,2.2451608179781415,,,,,,,,,,,,,,,gridworld,1003,Marginal,10.88434726881353,0.20627427281846364,0.7937257271815364,6.0,,
3.616834472647349e-09,3.419833305429165e-09,3.616834472647349e-09,1.5159785760054945e-07,0.0,log,CLARABEL,CLARABEL,,optimal,15.100409557943992,15.10040955794399,0.8005144000053406,0.6144992,27.0,11040.0,24.0,24.0,92.0,5.0,12.0,False,1.7763568394002505e-15,True,True,True,gridworld,1003,Direct-CVX,15.10040955794399,1.0,0.0,,,
0.0,5.551115123125783e-17,5.551115123125783e-17,6.661338147750939e-16,0.0,log,,,,not_applicable,,3.364675772434833,,,,,,,,,,,,,,,gridworld,1003,Random,15.10040955794399,0.22282016653414224,0.7771798334658578,0.0,,
0.0,0.0,0.0,4.440892098500626e-16,0.0,log,,,,not_applicable,,11.272323243591888,,,,,,,,,,,,,,,gridworld,1003,Additive,15.10040955794399,0.7464912259721969,0.2535087740278032,1.0,,
4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,6.661338147750939e-16,0.0,log,,,,not_applicable,,15.08962900003695,,,,,,,,,,,,,,,gridworld,1003,OCG K=40,15.10040955794399,0.9992860751315603,0.0007139248684396591,40.0,,
9.61911076507198e-10,1.1852948622603776e-09,1.1852948622603776e-09,3.96207067154819e-08,0.0,soft,CLARABEL,CLARABEL,,optimal,11.12815267556963,11.128152675569629,0.8727254999685101,0.6828059,29.0,11040.0,24.0,24.0,92.0,5.0,12.0,False,1.7763568394002505e-15,True,True,True,gridworld,1004,Direct-CVX,11.128152675569629,1.0,0.0,,,
0.0,1.1102230246251565e-16,1.1102230246251565e-16,8.881784197001252e-16,0.0,soft,,,,not_applicable,,4.116997716894252,,,,,,,,,,,,,,,gridworld,1004,Random,11.128152675569629,0.36996236814153083,0.6300376318584692,0.0,,
0.0,0.0,0.0,1.1102230246251565e-16,0.0,soft,,,,not_applicable,,3.1453920433100215,,,,,,,,,,,,,,,gridworld,1004,Additive,11.128152675569629,0.2826517693467047,0.7173482306532953,1.0,,
4.440892098500626e-16,1.1102230246251565e-15,1.1102230246251565e-15,8.881784197001252e-16,0.0,soft,,,,not_applicable,,11.112345451271034,,,,,,,,,,,,,,,gridworld,1004,OCG K=40,11.128152675569629,0.9985795284483023,0.001420471551697627,40.0,,
0.0,0.0,0.0,1.5543122344752192e-15,0.0,soft,,,,not_applicable,,7.016255291814446,,,,,,,,,,,,,,,gridworld,1004,Nearest-target,11.128152675569629,0.6304959588861228,0.36950404111387725,0.0,,
0.0,0.0,0.0,5.551115123125783e-16,0.0,soft,,,,not_applicable,,5.5806799499895,,,,,,,,,,,,,,,gridworld,1004,Marginal,11.128152675569629,0.5014920367008566,0.4985079632991434,6.0,,
4.034736499308296e-09,4.959498034473597e-09,4.959498034473597e-09,1.7691805731523402e-07,0.0,log,CLARABEL,CLARABEL,,optimal,15.867237726942884,15.867237726942886,0.9050048999488354,0.7219862,26.0,11040.0,24.0,24.0,92.0,5.0,12.0,False,1.7763568394002505e-15,True,True,True,gridworld,1004,Direct-CVX,15.867237726942886,1.0,0.0,,,
0.0,1.1102230246251565e-16,1.1102230246251565e-16,8.881784197001252e-16,0.0,log,,,,not_applicable,,7.128397051793612,,,,,,,,,,,,,,,gridworld,1004,Random,15.867237726942886,0.44925255261597624,0.5507474473840237,0.0,,
0.0,0.0,0.0,1.1102230246251565e-16,0.0,log,,,,not_applicable,,8.57465044028912,,,,,,,,,,,,,,,gridworld,1004,Additive,15.867237726942886,0.5403996957661505,0.4596003042338495,1.0,,
4.440892098500626e-16,1.1102230246251565e-15,1.1102230246251565e-15,8.881784197001252e-16,0.0,log,,,,not_applicable,,15.838953731964047,,,,,,,,,,,,,,,gridworld,1004,OCG K=40,15.867237726942886,0.9982174594302061,0.0017825405697938304,40.0,,
2.3437881367174833e-09,2.7443314747894666e-09,2.7443314747894666e-09,9.726297278689344e-08,0.0,soft,CLARABEL,CLARABEL,,optimal,10.489022403285695,10.489022403285698,0.8924120000447147,0.6959653,31.0,11040.0,24.0,24.0,92.0,5.0,12.0,False,3.552713678800501e-15,True,True,True,gridworld,1005,Direct-CVX,10.489022403285698,1.0,0.0,,,
0.0,5.551115123125783e-17,5.551115123125783e-17,8.881784197001252e-16,0.0,soft,,,,not_applicable,,3.176492575707719,,,,,,,,,,,,,,,gridworld,1005,Random,10.489022403285698,0.30283971695137946,0.6971602830486205,0.0,,
0.0,0.0,0.0,1.1102230246251565e-16,0.0,soft,,,,not_applicable,,1.9997709110629431,,,,,,,,,,,,,,,gridworld,1005,Additive,10.489022403285698,0.19065369814030644,0.8093463018596937,1.0,,
4.440892098500626e-16,2.220446049250313e-16,4.440892098500626e-16,6.661338147750939e-16,0.0,soft,,,,not_applicable,,10.445906298373954,,,,,,,,,,,,,,,gridworld,1005,OCG K=40,10.489022403285698,0.9958894067288636,0.004110593271136344,40.0,,
0.0,0.0,0.0,1.5543122344752192e-15,0.0,soft,,,,not_applicable,,4.901667116901143,,,,,,,,,,,,,,,gridworld,1005,Nearest-target,10.489022403285698,0.467314009679843,0.5326859903201571,0.0,,
0.0,0.0,0.0,7.771561172376096e-16,0.0,soft,,,,not_applicable,,5.781691223589155,,,,,,,,,,,,,,,gridworld,1005,Marginal,10.489022403285698,0.5512135451038824,0.44878645489611757,6.0,,
2.7503564213215147e-09,3.160211232222137e-09,3.160211232222137e-09,1.1834266788746106e-07,0.0,log,CLARABEL,CLARABEL,,optimal,13.55142483878348,13.551424838783477,0.9320594000164419,0.7517862,33.0,11040.0,24.0,24.0,92.0,5.0,12.0,False,3.552713678800501e-15,True,True,True,gridworld,1005,Direct-CVX,13.551424838783477,1.0,0.0,,,
0.0,5.551115123125783e-17,5.551115123125783e-17,8.881784197001252e-16,0.0,log,,,,not_applicable,,4.686387698653328,,,,,,,,,,,,,,,gridworld,1005,Random,13.551424838783477,0.34582250607634474,0.6541774939236552,0.0,,
0.0,0.0,0.0,1.1102230246251565e-16,0.0,log,,,,not_applicable,,5.2882492230368765,,,,,,,,,,,,,,,gridworld,1005,Additive,13.551424838783477,0.3902356605264253,0.6097643394735747,1.0,,
4.440892098500626e-16,2.220446049250313e-16,4.440892098500626e-16,7.771561172376096e-16,0.0,log,,,,not_applicable,,13.520634529829001,,,,,,,,,,,,,,,gridworld,1005,OCG K=40,13.551424838783477,0.9977278913973419,0.0022721086026581947,40.0,,
1.2025314412083564e-09,1.344197830510622e-09,1.344197830510622e-09,5.847176498541273e-08,0.0,soft,CLARABEL,CLARABEL,,optimal,10.645854141098454,10.645854141098454,0.9085792999831028,0.720486,31.0,11040.0,24.0,24.0,92.0,5.0,12.0,False,0.0,True,True,True,gridworld,1006,Direct-CVX,10.645854141098454,1.0,0.0,,,
