method,G_mean,G_std,covered_mean,entropy_mean,runtime_mean,planning_calls,best_found_ratio
Random,3.2867877585805685,0.47829923570887545,3.2,1.1449517460166176,0.05101765000144951,0.0,0.306715959344246
Nearest-target,6.285126677247296,1.2887148921732654,6.7,1.9220100637259605,0.18232330001774244,0.0,0.5865144937878601
Additive,4.783067478967743,1.9652551267533647,4.9,1.3258497149834327,0.013615400000708178,1.0,0.4463455623472969
Marginal,4.551269934495001,1.6421468640038341,4.8,1.236211342781188,0.09061238000867888,6.0,0.4247147144043494
OCG K=5,9.945853375639977,0.8134484706116595,11.5,2.352163521758058,0.07416450998862274,5.0,0.9281256301514381
OCG K=10,10.558379525926595,0.3800570419703813,12.0,2.4467798337084057,0.14868179999175482,10.0,0.9852852521313289
OCG K=20,10.673323077288,0.3010587679819587,12.0,2.4671494361861277,0.30325904000201265,20.0,0.9960115369467114
OCG K=40,10.716063701437871,0.2759344921668741,12.0,2.4714776586616014,0.6506183600053191,40.0,1.0
