method,G_mean,G_std,covered_mean,entropy_mean,runtime_mean,planning_calls,best_found_ratio
Random,7.6686398043335515,0.06469498304133026,8.0,2.0645265010861213,0.0059041400090791285,0.0,0.9686037233826419
Myopic-effectiveness,4.474097119368066,0.7016595902383139,4.5,1.412292765589663,0.0006479499978013336,0.0,0.5651102723779681
Additive,4.678688678910865,0.672834119130953,4.6,1.458777827661407,0.0014954499958548695,1.0,0.5909516407825489
Marginal,2.820489838883138,0.702438552221788,2.8,0.8690885244236017,0.009440850000828505,6.0,0.3562479174157191
OCG K=5,7.780977425122162,0.08687482665358234,8.0,2.027750040088223,0.00815701000392437,5.0,0.9827927634925069
OCG K=10,7.880740658349273,0.029227224280325967,8.0,2.068796242021997,0.01701859000022523,10.0,0.9953935690624678
OCG K=20,7.910984424259472,0.0174319569618931,8.0,2.0767453405538516,0.03767850999138318,20.0,0.9992135716988124
OCG K=40,7.9172107428541185,0.015737681258304846,8.0,2.0781724705384335,0.07419367999536916,40.0,1.0
