instance_type,instance_seed,utility,method,K,evaluated_objective,history_min_delta,runtime_sec,planning_calls,objective_evaluations,line_search_tolerance,initial_distribution_residual,flow_residual,max_flow_residual,layer_mass_error,min_occupancy
allocation,2007,soft,FW K=5,5,7.795544858123014,0.12354167029637786,0.005281799996737391,5,182,1e-08,0.0,1.6653345369377348e-16,1.6653345369377348e-16,6.661338147750939e-16,0.0
allocation,2007,soft,FW K=10,10,7.86877736774885,0.003860598705548668,0.008730499946977943,10,407,1e-08,2.7755575615628914e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-15,0.0
allocation,2007,soft,FW K=20,20,7.877664263784058,0.00027891638061472435,0.01960010000038892,20,857,1e-08,2.7755575615628914e-17,8.326672684688674e-17,8.326672684688674e-17,1.1102230246251565e-15,0.0
allocation,2007,soft,FW K=40,40,7.882424069604088,8.51926512854817e-05,0.044601199973840266,40,1757,1e-08,5.551115123125783e-17,8.326672684688674e-17,8.326672684688674e-17,1.1102230246251565e-15,0.0
allocation,2007,log,FW K=5,5,13.331114926378913,0.1539426828042867,0.0037534000002779067,5,182,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,8.881784197001252e-16,0.0
allocation,2007,log,FW K=10,10,13.426239689890837,0.008254174859605001,0.010128699999768287,10,407,1e-08,1.3877787807814457e-17,8.326672684688674e-17,8.326672684688674e-17,1.1102230246251565e-15,0.0
allocation,2007,log,FW K=20,20,13.514067192578832,0.0033003446730948127,0.019537099986337125,20,857,1e-08,1.1102230246251565e-16,8.326672684688674e-17,1.1102230246251565e-16,1.3322676295501878e-15,0.0
allocation,2007,log,FW K=40,40,13.584005499228688,0.0015718899579439949,0.041130099969450384,40,1757,1e-08,1.1102230246251565e-16,1.3877787807814457e-16,1.3877787807814457e-16,1.7763568394002505e-15,0.0
allocation,2008,soft,FW K=5,5,7.8624924268479255,0.028360516025092153,0.006673700001556426,5,182,1e-08,2.7755575615628914e-17,1.3877787807814457e-16,1.3877787807814457e-16,6.661338147750939e-16,0.0
allocation,2008,soft,FW K=10,10,7.903195174502105,0.003978709350178633,0.010591499973088503,10,407,1e-08,2.7755575615628914e-17,1.1102230246251565e-16,1.1102230246251565e-16,8.881784197001252e-16,0.0
allocation,2008,soft,FW K=20,20,7.913057428184759,0.00023157190309497366,0.019529900047928095,20,857,1e-08,2.7755575615628914e-17,1.3877787807814457e-16,1.3877787807814457e-16,1.1102230246251565e-15,0.0
allocation,2008,soft,FW K=40,40,7.916023144009822,7.690964810436185e-05,0.047293699986767024,40,1757,1e-08,1.1102230246251565e-16,1.6653345369377348e-16,1.6653345369377348e-16,1.3322676295501878e-15,0.0
allocation,2008,log,FW K=5,5,13.821377255485618,0.051511444126434824,0.003958300047088414,5,182,1e-08,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.881784197001252e-16,0.0
allocation,2008,log,FW K=10,10,13.885107492319149,0.004823398945116963,0.009250100003555417,10,407,1e-08,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,8.881784197001252e-16,0.0
allocation,2008,log,FW K=20,20,13.91993167887814,0.0019359912824228331,0.01933520002057776,20,857,1e-08,2.220446049250313e-16,1.6653345369377348e-16,2.220446049250313e-16,1.1102230246251565e-15,0.0
allocation,2008,log,FW K=40,40,13.95446254124898,0.0005986136374040996,0.039344699995126575,40,1757,1e-08,1.1102230246251565e-16,1.6653345369377348e-16,1.6653345369377348e-16,1.3322676295501878e-15,0.0
allocation,2009,soft,FW K=5,5,7.852348783061569,0.030798317524675767,0.004239100031554699,5,182,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.3322676295501878e-15,0.0
allocation,2009,soft,FW K=10,10,7.889567022545071,0.0004663199924017647,0.011473699996713549,10,407,1e-08,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-15,0.0
allocation,2009,soft,FW K=20,20,7.8947768848422655,0.00034415344120386493,0.019502900016959757,20,857,1e-08,5.551115123125783e-17,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-15,0.0
allocation,2009,soft,FW K=40,40,7.900424581580888,0.00018934125002711966,0.043488700001034886,40,1757,1e-08,1.1102230246251565e-16,1.6653345369377348e-16,1.6653345369377348e-16,1.3322676295501878e-15,0.0
allocation,2009,log,FW K=5,5,13.428430451651067,0.06987728634626578,0.004279899992980063,5,182,1e-08,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,1.3322676295501878e-15,0.0
allocation,2009,log,FW K=10,10,13.56536942472545,0.01109992427196893,0.009622799989301711,10,407,1e-08,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.3322676295501878e-15,0.0
allocation,2009,log,FW K=20,20,13.65480095867391,0.0037675292840404495,0.01796309999190271,20,857,1e-08,5.551115123125783e-17,1.6653345369377348e-16,1.6653345369377348e-16,1.5543122344752192e-15,0.0
allocation,2009,log,FW K=40,40,13.72774834814513,0.0016618112361062032,0.036024399974849075,40,1757,1e-08,5.551115123125783e-17,1.6653345369377348e-16,1.6653345369377348e-16,1.7763568394002505e-15,0.0
